# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Tue Jan 21 17:31:52 CET 2025 [seed=1737477110690]
# TreeSimulations_9_MDS_LC_env_raster.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.squareddistTime4.correlation	location.squareddistTime4.Rsquared	location.squareddistTime4.spearman	location.diffusionRate	location.halfDF	treeLikelihood	branchRates	location.traitLikelihood	skygrid
0	-254298.96516753398	-2910.179977625492	-251388.7851899085	145.57381428908934	1859.1261857109107	810.4605753752725	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	0.3333333333333333	0.9195018011886577	0.35202659474998327	0.13358987418541018	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	0.07545560555352612	0.005693548409449322	0.5416827212058628	18.41286665298941	0.5	-249637.358048523	-416.00454908851174	-1751.4271413855001	-1549.1161228598824
100000	-27880.822717215942	-649.3949998934203	-27231.427717322524	46.71908527202741	1957.9809147279727	331.68194185635	84.49166312203086	3.4196886595554092	3.499043928516295	3.6421556191949733	3.7432316476084524	3.706813665841392	3.602681706810177	3.3708297274247023	3.5605476446350712	3.6170248687049305	3.428887430736337	3.5472299777436684	3.3798783179609404	3.332550001536513	3.2055072516936955	3.281401435051608	3.2104876602204824	3.122565041504809	3.1300729469223123	3.34283871385389	3.4954992629709034	20.0	1.0983449095822595	0.2539729001405726	0.2416205977925687	0.26152370594394503	0.24288279612291336	0.025671043370726232	0.008057824852040847	0.138842020739472	3.2329409824964465E-4	2.6833646014644525	-0.042196838198838786	0.012396861472916935	0.0031080614160230776	0.0031080614160230776	0.011109781502006899	-0.26483840215868065	86.75018224809075	-24.26914464785426	-24.269144647854255	96.80028287555524	0.6063834897206053	0.36770093660573944	0.7230553457762434	31.38330177067658	8.746603263092588	-27040.53297915161	-416.00454908851174	-190.8947381709155	-194.51896823484404
200000	-27041.592685930544	-630.272118698617	-26411.320567231927	35.521578708612616	1969.1784212913874	186.72033836596398	393.4709202521592	3.1003229394797556	3.1106438110603127	3.113979820040314	3.041133799897189	3.0547545163555587	2.986374460601957	2.8581069097580327	2.797134968641875	2.7493263582269774	2.790000277789933	2.7917719615550296	2.7978676573610737	2.7267115849628794	2.67508789124167	2.6555752481499786	2.7253949926077627	2.751931807112657	2.801824512256076	2.7794388925071574	2.804621010587409	20.0	1.0774862032902721	0.2502121268183347	0.2523796414210125	0.2535490218772691	0.24385920988338367	0.3463207613750167	0.004146198960859061	0.02410966495022012	5.439019876515516E-4	3.546971815435346	-0.05559403659417522	0.014413614396741478	-0.0022106338781188416	-0.0022106338781188416	0.01826976061190255	0.13622723543882811	70.6907190558566	8.553549317534504	8.553549317534504	55.77023079523517	0.3369591091125212	0.11354144121390396	0.60695405576191	48.57162684177254	2.7299729106395105	-26242.830231274493	-416.00454908851174	-168.49033595743555	-133.02608660266327
300000	-26884.897729121192	-645.8138024780817	-26239.08392664311	33.282898485421434	1971.4171015145787	177.25381934736578	46.6013568538768	2.3683419565063337	2.3081799472573823	2.302117301404798	2.292284496542029	2.0583310499985576	2.088507222221568	2.2009683571609733	2.24637516205879	2.397963147688796	2.548992551007646	2.480403957631157	2.415755276405575	2.3349803087815264	2.4707366413258147	2.633485182001879	2.670168137161317	2.5606071371921475	2.5899538023351223	2.555387947234605	2.779797462908363	20.0	1.0246021373825493	0.25279572527551875	0.2451241609995235	0.25818872947419297	0.24389138425076498	0.3877439733622941	0.003208876936477568	0.013877483134091588	5.516366476215138E-4	1.3998035253618843	-0.10481001370143732	0.026739037115298285	-2.410515426087225E-4	-2.410515426087225E-4	0.0200720877423228	0.0104049682582422	37.40255383072434	0.44917815297266805	0.449178152972668	49.82582220273539	0.5064211088123696	0.25646233945074987	0.6983647488556324	47.90269328502098	2.457867038014575	-26071.37006742249	-416.00454908851174	-167.71385922062157	-147.92119986035573
400000	-26857.930154730773	-600.5332064898107	-26257.396948240963	36.58770476888975	1968.1122952311102	187.90684549067083	267.2974443994071	2.269490968158585	2.3077301502491716	2.3990073869599606	2.308928784674247	2.295644605146236	2.296250433771321	2.3501257072500894	2.4238890374366067	2.415511387738651	2.471435858832322	2.4083411580637533	2.4188363106695925	2.380396157703044	2.332748172012043	2.2102385382344383	2.221562291337553	2.2740223319901665	2.2614327801997582	2.2787134303522043	2.310472441842851	20.0	0.9569642277658453	0.2505991836633449	0.24869648563877436	0.25350679099160844	0.2471975397062723	0.6345151442337069	0.001457937878380479	0.0033832071019300725	5.079506628980846E-4	0.8796258042882706	0.19573761773226644	0.014180817772892488	3.0668421805679966E-4	3.0668421805679966E-4	0.020165248735021107	-0.018135895220534926	70.54099664304839	-1.0728263598776768	-1.0728263598776768	49.6065797183058	0.4121800949945471	0.16989243070971388	0.626358214015998	50.32182712807967	8.657616353957673	-26076.645949207905	-416.00454908851174	-180.7509990330596	-131.15229831467332
500000	-26815.658788140256	-567.8106934024156	-26247.84809473784	33.906449229577326	1970.7935507704228	190.27005264983714	112.79725078355075	2.1648470290328223	2.1418484393706803	2.1871427084330675	2.2546985917394826	2.350258010811154	2.5481785046382894	2.612246688010855	2.7153336421666068	2.8834492244993926	3.002551633881591	2.97402662549216	3.027474683181997	2.8563353621002356	2.7952409013614696	2.8227645890962507	2.6896505112741607	2.7390114310374414	2.5683124727533007	2.708442463627407	2.672794969436419	20.0	1.0895911594006111	0.245855999915401	0.24131619532373413	0.2615900277764218	0.2512377769844429	0.5141302642581508	5.656204517718644E-4	3.648215722912766E-4	4.945708027484584E-4	0.5618072091030456	0.18138224992991153	0.012594048497190528	0.003083378594256298	0.003083378594256298	0.018655693042857437	-0.2011585417879902	82.75108729949865	-13.67694733422926	-13.67694733422926	55.86344094807785	0.5043973207004279	0.2544166571297703	0.6134888953963288	48.999086139306975	17.647266613579003	-26071.3361738143	-416.00454908851174	-176.51192092354017	-150.9397049834198
600000	-26880.498820678524	-618.9848203430469	-26261.514000335475	34.032887001817144	1970.6671129981828	187.56019414308275	253.6978148390164	2.7287969415433717	2.707091582150068	2.652560459226527	2.6256287227729356	2.765601931130252	2.8524160203550024	2.789148922708264	2.72603130514741	2.7627291738570348	2.940168578437576	2.880018723167861	2.800071984347074	2.7343752022319396	2.7313839250681724	2.7540422845675643	2.8264027725304883	2.7786573139242496	2.7767529914108753	2.7451730185779155	2.666780988316371	20.0	1.0570743434811596	0.24236301551676814	0.2458185922171419	0.25913013467579227	0.25268825759029745	0.6597317286883816	5.290906460803708E-4	2.43827215362678E-4	4.950866996517181E-4	0.42212960650606357	-0.07150162982024878	0.014573113484931897	-0.00445154381723164	-0.00445154381723164	0.023694954870441688	0.23955571502402456	72.79712044190964	13.67631097789929	13.676310977899288	44.772429547844474	0.5060386092894004	0.2560750740915504	0.6067999321856264	49.064826582745425	5.763115932015284	-26086.10382353331	-416.00454908851174	-175.41017680216564	-142.74168369961822
700000	-26908.382581754122	-648.6578598589446	-26259.724721895178	34.823313001234155	1969.876686998766	193.21862370596094	39.13129038883675	2.9057335200957106	2.8821070793713854	2.589598138049956	2.7017416249988853	2.532585267408062	2.56752157589014	2.6439943245321107	2.5717179267740944	2.4856539256856736	2.481590380609848	2.269065881706026	2.0446859198639205	2.430952385539228	2.482608859236491	2.570490383151101	2.559881879104134	2.3595688798206202	2.476902860760345	2.6156060038979745	2.563699136542531	20.0	0.9633559025072342	0.24326468774970786	0.24753706372725348	0.26074565085117113	0.24845259767186706	0.8599697875839476	4.963366765382302E-4	2.8922061350608526E-4	4.7575223260229443E-4	0.60536905543844	-0.07649338255134679	0.01731835664685479	-4.638174983606718E-4	-4.638174983606718E-4	0.02151407927607402	0.02402881796383115	57.775557927399596	1.2455710700146052	1.245571070014605	46.50804270162168	0.43995570711053555	0.19356102421913135	0.6269901206787603	42.91429040050687	3.6260650637734457	-26088.379151428144	-416.00454908851174	-171.34557046703483	-156.59888709498782
800000	-26872.13309678266	-618.328562885359	-26253.804533897302	33.203316876917675	1971.4966831230824	184.51631768940774	200.0728462724774	2.5763609490798074	2.6538562140610726	2.6676679211369114	2.6176997728021263	2.5601139474313843	2.5326305209955025	2.482925258738992	2.5737804483520335	2.659010829225805	2.6047466119805063	2.5938678382207843	2.6384663288535655	2.6359328199709724	2.63148531175148	2.7072926723277297	2.7139625329118298	2.7228793845566095	2.623007979378244	2.686353531618469	2.6442982100961077	20.0	1.0355524936915215	0.2403374061734089	0.2499383060926586	0.2585950240191171	0.251129263714815	0.8496883471951494	5.453651635901207E-4	3.3245612468044903E-4	4.8474206777780895E-4	0.5226628413514772	0.21155142652035674	0.010108119021948032	0.0023404162832450525	0.0023404162832450525	0.024589356333142732	-0.1484514203673716	101.1597144717356	-9.628387166806768	-9.628387166806766	41.584432721744754	0.5745917190081946	0.3301556435527921	0.7102014395142024	52.42354217363858	3.9866152676908126	-26075.471583857237	-416.00454908851174	-178.33295004006453	-136.91423249692647
900000	-26932.253492658976	-678.5494094824868	-26253.70408317649	34.385300852463665	1970.3146991475364	193.7449119497469	1.0313239104237883	4.027170292745572	3.6302060602600994	4.68548856458738	4.108578628587393	3.380688077920686	3.1734885117445093	2.4742416216433205	2.893508237258399	3.3449865082677377	3.1748116925496195	2.709492352831796	3.128035979223766	3.339378646648221	4.657412981105252	2.285168205390706	1.9724658216192608	2.535815018122956	2.426030133675531	3.765664424325074	2.6779833167844562	20.0	0.9900271459251995	0.2544609150684189	0.24801198594616283	0.2537017680180963	0.24382533096732165	0.573450553790881	5.023222094531973E-4	2.243008140436548E-4	4.981943899603806E-4	0.48246062631422365	0.08759135673649039	0.014878085587679793	0.003044390989364078	0.003044390989364078	0.013033289717354382	-0.21862502737281736	70.58677781801157	-16.48806671359867	-16.488066713598666	80.57797720375481	0.4433775103448248	0.19658361667957522	0.5703342940369589	46.577345897919294	3.121001953538098	-26077.756426555614	-416.00454908851174	-175.94765662087673	-188.17602608427867
