LC_R2_null	LC_R2_env	LC_Q	LC_pQ	LC_BF
0.425 [0.307, 0.554]	0.229 [0.130, 0.366]	-0.196 [-0.401, -0.055]	0.01	0.0
0.495 [0.379, 0.621]	0.225 [0.114, 0.342]	-0.270 [-0.413, -0.063]	0.00	0.0
0.436 [0.297, 0.547]	0.206 [0.101, 0.375]	-0.230 [-0.454, -0.048]	0.03	0.0
0.469 [0.362, 0.576]	0.204 [0.083, 0.339]	-0.265 [-0.389, -0.054]	0.00	0.0
0.471 [0.339, 0.567]	0.202 [0.096, 0.318]	-0.269 [-0.421, -0.133]	0.00	0.0
0.450 [0.342, 0.557]	0.220 [0.104, 0.335]	-0.229 [-0.414, -0.071]	0.01	0.0
0.484 [0.371, 0.576]	0.184 [0.099, 0.257]	-0.299 [-0.413, -0.193]	0.00	0.0
0.464 [0.359, 0.566]	0.187 [0.097, 0.277]	-0.277 [-0.412, -0.131]	0.00	0.0
0.463 [0.355, 0.568]	0.197 [0.107, 0.297]	-0.265 [-0.421, -0.142]	0.00	0.0
0.458 [0.368, 0.573]	0.211 [0.112, 0.323]	-0.247 [-0.368, -0.052]	0.00	0.0
