CS_LR2_beta_env;CS_LR2_R2_env;CS_LR2_Q;CS_LR2_pQ;CS_LR2_BF
0.729 [0.175, 1.599];0.109 [0.003, 0.205];0.055 [-0.048, 0.154];0.89;-
0.161 [0.04, 0.325];0.027 [0.002, 0.071];-0.008 [-0.089, 0.053];0.42;-
0.62 [0.234, 1.277];0.101 [0.033, 0.192];0.066 [-0.045, 0.165];0.91;2.8
0.505 [0.117, 1.02];0.069 [0, 0.155];0.017 [-0.052, 0.126];0.7;-
0.35 [0.138, 0.636];0.048 [0.002, 0.101];-0.023 [-0.17, 0.069];0.39;-
0.186 [0.078, 0.362];0.058 [0.003, 0.123];0.017 [-0.104, 0.093];0.79;-
0.151 [0.018, 0.284];0.029 [0, 0.063];-0.012 [-0.055, 0.053];0.31;-
0.292 [0.115, 0.509];0.054 [0.011, 0.104];0.033 [-0.01, 0.085];0.93;1.7
0.235 [0.064, 0.511];0.044 [0.001, 0.105];-0.047 [-0.222, 0.095];0.32;-
0.265 [0.058, 0.434];0.043 [0.002, 0.086];-0.006 [-0.077, 0.053];0.48;-
