LC_LR1_beta_env	LC_LR1_R2_env	LC_LR1_Q	LC_LR1_pQ	LC_LR1_BF
0.078 [0.062, 0.095]	0.545 [0.391, 0.710]	0.238 [0.099, 0.326]	1.00	>99
0.080 [0.067, 0.093]	0.572 [0.425, 0.727]	0.258 [0.157, 0.334]	1.00	>99
0.077 [0.059, 0.091]	0.547 [0.366, 0.694]	0.238 [0.135, 0.351]	1.00	>99
0.076 [0.061, 0.088]	0.546 [0.371, 0.676]	0.236 [0.122, 0.354]	1.00	>99
0.073 [0.058, 0.086]	0.568 [0.396, 0.696]	0.200 [0.088, 0.300]	1.00	49.0
0.082 [0.064, 0.099]	0.545 [0.365, 0.695]	0.253 [0.150, 0.347]	1.00	>99
0.076 [0.062, 0.091]	0.547 [0.399, 0.699]	0.246 [0.159, 0.350]	1.00	>99
0.079 [0.067, 0.094]	0.566 [0.422, 0.711]	0.250 [0.160, 0.339]	1.00	>99
0.075 [0.059, 0.090]	0.520 [0.318, 0.665]	0.256 [0.139, 0.328]	1.00	>99
0.082 [0.069, 0.097]	0.539 [0.382, 0.659]	0.256 [0.178, 0.342]	1.00	>99
