# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Sun Jan 19 14:48:21 CET 2025 [seed=1737294501076]
# TreeSimulations_8_MDS_LC_null_raster.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.squareddistTime4.correlation	location.squareddistTime4.Rsquared	location.squareddistTime4.spearman	location.diffusionRate	location.halfDF	treeLikelihood	branchRates	location.traitLikelihood	skygrid
0	-288428.59616683866	-3368.277593787789	-285060.31857305084	195.78401909261038	1808.9159809073897	1071.2649089016343	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	0.3333333333333333	1.0465962879108064	0.2965860255355834	0.13655197776594719	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	0.03535953658084073	0.0012502968272118135	0.43866266972858836	14.345863136679213	0.5	-281590.29547784507	-416.00454908851174	-3470.023095205756	-1746.5489018405508
100000	-39299.26170374953	-765.100918224455	-38534.16078552508	110.94797933004833	1893.7520206699517	805.0657572493972	23.539236510301055	5.04510959526041	5.081829645280676	5.166526012252606	5.339868504765324	5.2685336902962145	5.266170383342432	5.466955838325884	5.885255744925708	5.650861266481044	5.609122136828173	5.38999510065452	5.305502756855048	4.940869410076985	4.82637402217986	4.610457751532381	4.645680593692483	4.757716648650336	5.03520994343302	5.010999197022957	4.5720726823771605	20.0	0.9076402692777822	0.25053572647755684	0.24304554231587308	0.258407549386226	0.24801118182034407	0.10880032688468738	0.02388274365282037	1.1234182408359408	3.2934600241534803E-4	3.2163609257453034	0.36908152980293785	0.027222285861092026	-0.004296122565049126	-0.004296122565049126	0.0038982954972706972	0.4170393064930083	44.468680147006	49.00677753937815	49.00677753937814	310.53036479014906	0.6075320423305096	0.3690951824582801	0.4480025584513663	13.436165715067624	2.9913123644806707	-38337.06331748061	-416.00454908851174	-197.09746804446348	-259.1831302220802
200000	-37718.233910095536	-772.5128252047741	-36945.72108489076	79.17267341837983	1925.5273265816202	730.3450730217594	34.792295870803976	5.08160826702078	5.236738462281017	5.08447378945081	4.994694631478553	4.974816639823464	5.226704547877312	5.39318148738161	5.209623159746924	4.989605655992279	4.845342285583326	5.029114015366611	4.834909106085644	5.061988077270306	4.5666656316280445	4.4976333994333375	4.410032739467969	4.450968810843532	4.65984940106087	4.736874240490104	4.584992933525253	20.0	0.8495760231260043	0.24347330969062242	0.2488754638241681	0.25427566186668904	0.2533755646185205	0.1793832080760417	0.012053862728598808	0.4051811080551948	3.282271623196598E-4	2.763962705937527	0.2052560183065661	0.03187897821598747	-0.00532350561588499	-0.00532350561588499	0.007791529841435269	0.33778017075014033	35.40859314956115	24.192661559203184	24.19266155920319	144.873958342652	0.34747605543393084	0.12073960909992418	0.4775287825778709	12.502044083928913	1.938738200305113	-36768.85738668313	-416.00454908851174	-176.86369820763528	-256.74561096137
300000	-37290.36533004041	-787.4628211812068	-36502.9025088592	134.87529596040824	1869.8247040395918	859.0372685029295	77.76879181327374	5.079733872718744	5.365818992892073	5.468165464294919	5.3334002614733045	5.349499256256338	5.440046120432742	5.468508498236446	5.351253703127044	5.494337577911449	5.636068828058257	5.4998181759927345	5.434974725209367	5.311188330280397	5.2655201488542565	5.00708757997991	5.0611858531059575	4.8912592827963	4.819378329191023	4.6848029948150876	4.476315330343235	20.0	0.8585191001787098	0.24514587872539528	0.2478657622766239	0.25207791331284	0.25491044568514104	0.144784898496539	0.00941363482210456	0.29074244417920975	2.746385136962494E-4	2.6849010809771823	0.021440741203006094	0.02761313432137072	-8.743144551962205E-5	-8.743144551962205E-5	0.009544382316948645	0.005385622296160181	36.21570062022519	0.33175442376290537	0.33175442376290537	104.77671289351053	0.12858150294450799	0.016533202899468517	0.44878858869041194	9.249641187543924	1.3730441660118884	-36337.15565839982	-416.00454908851174	-165.74685045938233	-254.24096005985507
400000	-37193.8367846515	-766.988019669894	-36426.84876498161	56.85103487635902	1947.848965123641	669.046673473677	4.963629064329988	6.036817923752555	5.741472584626015	5.3007979751034355	5.27903301969605	5.280831310244348	5.354471586918263	5.402120785664841	5.376310633283971	5.368660367866177	6.230370529587084	6.221428735558569	6.352025241312613	6.19430020741017	6.687422049659283	5.9441305963825934	5.631652221093209	4.346208586585431	4.311149721944218	4.091633142421355	3.6870983567739217	20.0	0.9059224783672651	0.2481039390303893	0.24449182213143641	0.2540226486013325	0.25338159023684204	0.175319916409828	0.006246901026356854	0.1351201402519741	3.4295616380081666E-4	2.4852229953174905	-0.15275111419450885	0.030212807995239246	-0.0029751131532750785	-0.0029751131532750785	0.016682550931989563	0.13251856150268534	33.69018452514989	6.00820051595576	6.00820051595576	61.014354491237405	0.5187833988498235	0.26913621492217504	0.5429927716042723	12.568299676683099	1.7793032561533584	-36262.25840605182	-416.00454908851174	-164.59035892978665	-263.1159481769801
500000	-36904.25447490747	-757.8527826916448	-36146.401692215826	41.147654560228034	1963.5523454397721	568.321704084839	2.1768981905153404	2.7991016230263575	3.7581342414184213	4.005641641423182	5.017842408130484	4.357874861002805	4.498700927574478	5.3526852888633965	5.309208658602269	5.4972727422060785	5.337118352028353	5.559623228582639	5.93127823331375	5.787169446301761	5.853634724926333	5.632646650814626	4.838573218925635	4.553669366129911	4.6825417625452594	4.519881493573609	3.3214324924656076	20.0	0.9598752606473238	0.24761565483078316	0.2434414357516733	0.2574158281228985	0.2515270812946455	0.20160271637614322	0.004759403840716943	0.05900733488520418	4.0012355585293936E-4	2.1860347316251776	-0.12441265934970834	0.05106524369566187	-0.010188165731009042	-0.010188165731009042	0.026723559250868258	0.2757948463378268	21.19493732551303	8.080418184701966	8.080418184701966	40.50076673848891	0.2713993172388369	0.07365758939770685	0.48340474392367805	13.29880901018755	1.2867246873892366	-35989.02746362437	-416.00454908851174	-157.3742285914542	-257.70673165196627
600000	-36730.297021977494	-768.0392805686963	-35962.2577414088	76.83333907949057	1927.8666609205095	704.0711381443001	0.8020625562400405	4.627008049810597	4.032470482473558	4.965137386673164	5.515017660131398	5.907203039741321	5.37838899796671	6.965988210091977	7.939849404470133	7.483618180590685	5.8998384505194	6.0536846413623575	6.768674006882295	6.861663633612966	7.358393458391118	5.9303627041838745	6.154033455695785	5.738570289728684	5.502532292809458	5.499956563612139	3.5264431243083196	20.0	0.8933850076514511	0.24572728099514282	0.2532311862717181	0.25098317270490506	0.2500583600282343	0.23182856264884028	0.0028158392499248565	0.030889535762588165	3.209240104393003E-4	1.999300370175407	-0.19364540106581715	0.04601324056499713	-0.008299028671312682	-0.008299028671312682	0.02157497124874534	0.2633969501562614	23.353062564747177	8.982989295944778	8.982989295944776	49.805400588129615	0.3933215844918818	0.15470186882720452	0.43444738991723564	10.718117678276323	1.6488910512648347	-35804.46987495375	-416.00454908851174	-157.78786645505357	-265.62873318942724
700000	-36545.70370833743	-781.2501805564485	-35764.453527780985	109.03188592499387	1895.668114075006	830.6652640558444	3.3441156768251563	6.3679402623273536	5.637408454524175	5.591843241787549	5.331639254426582	6.659831663154245	6.281959790347887	5.513503383100588	5.260712919277168	6.217580044398879	6.541351698518781	6.373222895354932	5.756161424808354	5.598976659068598	5.324162841780982	4.872110772991065	5.250617071003146	5.695525227566086	5.017705447839088	4.945688340347743	3.84228022784226	20.0	0.9990398647025884	0.24323172059782586	0.2452371381661429	0.25590233452225447	0.2556288067137772	0.2706262374844795	0.0024690576261168647	0.029954480280385255	2.5589316183498084E-4	2.0368738381197407	-0.05040595740541006	0.0477053082462901	-0.005907949008493507	-0.005907949008493507	0.05000053927370457	0.12096675785981795	21.273319406557167	2.5136066154676753	2.5136066154676753	20.296786283769297	0.6313398437896091	0.39858999835628794	0.3163116686959604	8.534548273988321	1.1746713087754364	-35614.61761787853	-416.00454908851174	-149.8359099024527	-278.0247369025822
800000	-36469.132446929	-807.6862596153907	-35661.44618731361	146.97329448605734	1857.7267055139428	929.1635885670951	0.8936673287646318	4.350054453387607	4.098716096220851	4.965971665060938	5.6823912014609546	5.337040144687975	4.6919381189426455	6.580558177128483	7.114861945056795	6.859983186200297	6.403100047352211	6.957003213464906	7.609219322697644	5.782445817181688	5.5741948606518825	4.954812147200364	5.658614123330131	4.24393442950669	4.104489412337893	3.443833547651133	4.076034808560369	20.0	0.9409640119067423	0.2424835492260152	0.2489730737916405	0.25480587587320513	0.2537375011091394	0.30144458769052307	0.0020296974205944018	0.020351586588182754	2.3603579514134879E-4	1.8175627442507065	-0.0789093504347586	0.09711743670099966	-0.012657735960471277	-0.012657735960471277	0.040752315584307475	0.2012015310079742	10.731234566894145	3.333139030998616	3.333139030998616	25.573761363765023	0.5088549742326558	0.2589333848013168	0.41884237781853495	7.831268668979399	0.7979114117787305	-35518.94533449463	-416.00454908851174	-142.50085281898197	-287.73136150457304
900000	-36462.969114969725	-793.4376278255457	-35669.53148714418	160.60645575035971	1844.0935442496402	981.7014413741634	5.889848306534116	6.056310238352515	6.110790868708785	6.136622497668718	5.961084799092874	6.079414530319407	6.475359077924934	6.079333451432242	5.598428493229759	5.498964759927395	5.740078989515319	6.556454791394117	5.639935098648988	5.889078777441792	6.5303623114944855	5.8163930121808205	5.079904167677122	5.251473066052925	5.2058456616589535	4.969178774333566	4.278589174212511	20.0	0.9254486106563551	0.24423963398294968	0.25420737454829245	0.2531331120166623	0.24841987945209584	0.3409125421066845	0.002293533380433631	0.025188485403653232	2.2447643086696527E-4	2.0149485168573404	-0.10018150400563682	0.06379846059324883	-0.027028473826592674	-0.027028473826592674	0.045263932009182065	0.502967918891497	20.982424467499463	12.529245369651548	12.529245369651548	29.574239822316624	0.3956688660161462	0.15655385153450305	0.3464505340381918	7.406508293867918	1.0307249482880858	-35519.84834812432	-416.00454908851174	-149.683139019861	-284.90920412647546
