collection_date	latitude	longitude
62	1982.25	37.8957925073902	-79.6480016540115
44	1982.5	40.0207882639362	-79.7534556934225
60	1982.5	38.0537185846269	-79.0792578250067
34	1983	38.1311322601074	-79.6542695661238
32	1983.25	37.1859397939711	-78.5813798799461
65	1983.25	38.8275040270159	-79.3590018058857
21	1983.33333333333	40.2906929252316	-79.472556886529
68	1983.33333333333	37.245729497378	-79.8270567173584
74	1983.58333333333	37.345629844473	-80.2371817241781
58	1983.75	40.9033226566478	-77.6882097912917
56	1983.83333333333	40.5119642763707	-76.5864885477692
72	1983.91666666667	38.5053592554903	-79.2745443064937
70	1984.16666666667	39.0891542768837	-78.864918058348
45	1984.33333333333	40.6194917194955	-77.6436380021681
36	1985.08333333333	39.9240696206241	-79.2865119129329
87	1985.08333333333	38.2176390132593	-81.074588912049
23	1985.16666666667	38.1738413715478	-79.2582826874555
88	1985.16666666667	37.1687405423211	-80.5343431672496
106	1985.5	38.1311322601074	-79.6542695661238
94	1986	38.2618551001194	-79.3676409324673
113	1986	37.037191483072	-79.7032204349475
86	1986.08333333333	37.4783787300513	-81.2493157757855
99	1986.08333333333	40.7024839158182	-79.0742939189474
98	1986.41666666667	40.1412886205292	-79.0527537559076
76	1986.5	38.223879232793	-79.9411349202442
51	1986.91666666667	39.4223890477251	-80.5759696165257
124	1986.91666666667	39.6383890708458	-79.8657543547116
139	1987.08333333333	39.0891542768837	-78.864918058348
59	1987.25	41.1523933640723	-79.0715483354228
104	1987.25	38.3604907473861	-79.6513011151735
50	1987.41666666667	37.9624886031219	-80.0470875799848
148	1987.58333333333	38.0537185846269	-79.0792578250067
119	1988	38.9063663813192	-79.6136181128891
122	1988.08333333333	37.5774183744372	-80.0229091542953
83	1988.16666666667	39.7945776410915	-79.9135125299904
147	1988.16666666667	38.8370055986276	-79.499557283063
112	1988.25	37.6515869895234	-80.1919081343609
114	1988.5	39.351526345397	-79.0438041015235
39	1989.25	40.0568356298355	-76.7477732451388
109	1989.25	37.840075059268	-79.914734967251
165	1989.33333333333	38.936060291511	-76.5656999836559
