CS_LR1_beta_env	CS_LR1_R2_env	CS_LR1_Q	CS_LR1_pQ	CS_LR1_BF
0.510 [0.410, 0.605]	0.194 [0.130, 0.264]	0.070 [0.012, 0.123]	0.97	32.3
0.363 [0.272, 0.450]	0.094 [0.057, 0.143]	0.001 [-0.019, 0.018]	0.57	-
0.523 [0.347, 0.692]	0.145 [0.067, 0.225]	0.040 [-0.014, 0.093]	0.95	2.2
0.496 [0.423, 0.571]	0.189 [0.135, 0.255]	0.078 [0.047, 0.111]	1.00	99.0
0.458 [0.405, 0.528]	0.135 [0.099, 0.170]	0.038 [0.016, 0.069]	1.00	99.0
0.519 [0.439, 0.609]	0.145 [0.095, 0.184]	-0.012 [-0.038, 0.015]	0.18	-
0.538 [0.456, 0.637]	0.194 [0.126, 0.257]	0.053 [0.026, 0.090]	0.99	9.0
0.481 [0.396, 0.549]	0.179 [0.114, 0.222]	0.070 [0.042, 0.096]	1.00	>99
0.367 [0.262, 0.459]	0.086 [0.052, 0.135]	-0.013 [-0.039, 0.018]	0.19	-
0.424 [0.321, 0.503]	0.144 [0.086, 0.210]	0.021 [-0.013, 0.080]	0.89	-
0.579 [0.473, 0.692]	0.184 [0.127, 0.261]	-0.096 [-0.140, -0.034]	0.00	-
0.462 [0.357, 0.550]	0.122 [0.079, 0.176]	-0.087 [-0.111, -0.058]	0.00	-
0.633 [0.523, 0.730]	0.175 [0.123, 0.221]	0.015 [-0.014, 0.039]	0.88	-
0.441 [0.348, 0.547]	0.121 [0.077, 0.184]	0.033 [0.012, 0.058]	1.00	13.3
0.514 [0.413, 0.600]	0.149 [0.095, 0.203]	0.025 [-0.006, 0.055]	0.95	7.3
0.516 [0.439, 0.617]	0.169 [0.119, 0.234]	-0.075 [-0.130, -0.027]	0.00	-
0.477 [0.410, 0.586]	0.147 [0.103, 0.205]	-0.069 [-0.092, -0.027]	0.01	-
0.514 [0.414, 0.633]	0.139 [0.075, 0.193]	-0.020 [-0.056, 0.028]	0.14	-
0.364 [0.281, 0.467]	0.117 [0.071, 0.193]	-0.005 [-0.033, 0.024]	0.34	-
0.469 [0.416, 0.542]	0.147 [0.111, 0.190]	-0.005 [-0.029, 0.025]	0.32	-
0.520 [0.421, 0.594]	0.171 [0.120, 0.226]	-0.008 [-0.034, 0.018]	0.23	-
0.355 [0.267, 0.426]	0.117 [0.060, 0.163]	-0.003 [-0.037, 0.038]	0.37	-
0.389 [0.318, 0.464]	0.147 [0.096, 0.206]	0.010 [-0.019, 0.043]	0.72	-
0.424 [0.348, 0.499]	0.126 [0.083, 0.169]	0.007 [-0.020, 0.031]	0.64	-
0.429 [0.353, 0.534]	0.096 [0.061, 0.139]	0.034 [0.012, 0.057]	1.00	7.3
0.443 [0.358, 0.527]	0.127 [0.077, 0.173]	-0.052 [-0.087, -0.018]	0.00	-
0.396 [0.330, 0.501]	0.108 [0.073, 0.162]	-0.057 [-0.086, -0.039]	0.00	-
0.458 [0.380, 0.567]	0.137 [0.083, 0.187]	0.049 [0.016, 0.079]	1.00	3.2
0.439 [0.325, 0.526]	0.167 [0.090, 0.228]	0.010 [-0.020, 0.042]	0.70	-
0.517 [0.424, 0.602]	0.144 [0.094, 0.185]	0.038 [0.011, 0.064]	0.99	49.0
0.467 [0.307, 0.565]	0.115 [0.044, 0.165]	-0.096 [-0.145, -0.055]	0.00	-
0.465 [0.384, 0.527]	0.134 [0.099, 0.177]	-0.026 [-0.046, -0.008]	0.01	-
0.527 [0.401, 0.626]	0.137 [0.071, 0.187]	-0.002 [-0.030, 0.031]	0.44	-
0.445 [0.361, 0.545]	0.122 [0.084, 0.179]	0.065 [0.036, 0.105]	1.00	24.0
0.349 [0.246, 0.429]	0.089 [0.050, 0.142]	-0.063 [-0.094, -0.037]	0.00	-
0.522 [0.428, 0.617]	0.187 [0.121, 0.249]	0.052 [0.014, 0.082]	0.99	8.1
0.616 [0.471, 0.719]	0.169 [0.109, 0.226]	0.003 [-0.049, 0.039]	0.57	-
0.473 [0.375, 0.555]	0.123 [0.077, 0.165]	0.030 [-0.011, 0.066]	0.94	99.0
0.381 [0.317, 0.450]	0.103 [0.066, 0.137]	-0.026 [-0.045, -0.009]	0.01	-
0.614 [0.519, 0.710]	0.193 [0.138, 0.246]	0.037 [0.010, 0.065]	0.99	8.1
0.458 [0.378, 0.563]	0.119 [0.074, 0.160]	0.013 [-0.020, 0.044]	0.84	-
0.449 [0.351, 0.524]	0.119 [0.087, 0.164]	-0.037 [-0.054, -0.016]	0.00	-
0.400 [0.311, 0.485]	0.126 [0.078, 0.179]	-0.005 [-0.029, 0.022]	0.33	-
0.563 [0.487, 0.643]	0.178 [0.135, 0.216]	0.048 [0.024, 0.080]	1.00	9.0
0.432 [0.360, 0.515]	0.161 [0.109, 0.210]	0.038 [0.005, 0.075]	0.99	15.7
0.489 [0.378, 0.565]	0.187 [0.126, 0.262]	0.016 [-0.015, 0.055]	0.85	-
0.636 [0.516, 0.750]	0.180 [0.126, 0.239]	0.077 [0.029, 0.135]	1.00	99.0
0.453 [0.355, 0.557]	0.179 [0.105, 0.232]	0.074 [0.035, 0.108]	1.00	5.7
0.312 [0.246, 0.395]	0.078 [0.049, 0.118]	-0.038 [-0.068, -0.014]	0.01	-
0.396 [0.299, 0.472]	0.097 [0.067, 0.136]	-0.044 [-0.076, -0.017]	0.00	-
