node1,node2,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km,treeID
1,2,39.0184817353201,-78.5997592612643,38.7650203927264,-78.6283900343864,6.41666666666674,0,1972,1978.41666666667,28.3251421517017,-9999
1,3,39.0184817353201,-78.5997592612643,39.1149622042793,-78.63131852671,0.25,0,1972,1972.25,11.0815508123822,-9999
3,5,39.1149622042793,-78.63131852671,39.3852058394326,-78.3077120417933,1.41666666666674,0.25,1972.25,1973.41666666667,41.028647245275,-9999
5,6,39.3852058394326,-78.3077120417933,39.0829063915993,-78.3339524594032,1.83333333333326,1.41666666666674,1973.41666666667,1973.83333333333,33.7291231586825,-9999
6,9,39.0829063915993,-78.3339524594032,39.7354109793528,-78.0296827371737,3,1.83333333333326,1973.83333333333,1975,77.2099073739227,-9999
3,4,39.1149622042793,-78.63131852671,39.5764464317613,-78.6552818581795,3.66666666666674,0.25,1972.25,1975.66666666667,51.4156154908845,-9999
5,7,39.3852058394326,-78.3077120417933,39.3177840751954,-79.018007593535,3.91666666666674,1.41666666666674,1973.41666666667,1975.91666666667,61.6034927399717,-9999
6,8,39.0829063915993,-78.3339524594032,39.3465179770417,-78.2898438097035,4,1.83333333333326,1973.83333333333,1976,29.5918377226123,-9999
4,12,39.5764464317613,-78.6552818581795,39.3396550478322,-78.6811211158016,4.41666666666674,3.66666666666674,1975.66666666667,1976.41666666667,26.4539273787795,-9999
7,15,39.3177840751954,-79.018007593535,39.6296797670844,-78.5468775753088,4.58333333333326,3.91666666666674,1975.91666666667,1976.58333333333,53.3351235929047,-9999
12,19,39.3396550478322,-78.6811211158016,39.1149054146919,-78.6772868561057,5.66666666666674,4.41666666666674,1976.41666666667,1977.66666666667,25.0221840639718,-9999
8,17,39.3465179770417,-78.2898438097035,38.3951148460573,-77.723713566307,6,4,1976,1978,116.727236705306,-9999
17,24,38.3951148460573,-77.723713566307,38.8761053782642,-78.0758030745979,6.58333333333326,6,1978,1978.58333333333,61.6809824677491,-9999
12,18,39.3396550478322,-78.6811211158016,39.3582354034837,-79.1555397755328,6.66666666666674,4.41666666666674,1976.41666666667,1978.66666666667,40.8933982851628,-9999
7,14,39.3177840751954,-79.018007593535,38.7488860646284,-78.8473220459995,7.33333333333326,3.91666666666674,1975.91666666667,1979.33333333333,65.029085789389,-9999
8,16,39.3465179770417,-78.2898438097035,38.4797899389901,-78.3002010885448,7.58333333333326,4,1976,1979.58333333333,96.4916914330205,-9999
9,11,39.7354109793528,-78.0296827371737,40.2147128158071,-78.5591201228314,7.83333333333326,3,1975,1979.83333333333,69.9071394947019,-9999
19,22,39.1149054146919,-78.6772868561057,39.4715870510196,-78.6562019663127,8.08333333333326,5.66666666666674,1977.66666666667,1980.08333333333,39.7487119539464,-9999
14,33,38.7488860646284,-78.8473220459995,38.4514225106368,-78.8599715312763,8.08333333333326,7.33333333333326,1979.33333333333,1980.08333333333,33.1330765944014,-9999
4,13,39.5764464317613,-78.6552818581795,38.1887480960548,-78.4690334690066,8.25,3.66666666666674,1975.66666666667,1980.25,155.324666268791,-9999
2,26,38.7650203927264,-78.6283900343864,39.6539757772531,-78.2460815981611,8.58333333333326,6.41666666666674,1978.41666666667,1980.58333333333,104.31154605142,-9999
13,42,38.1887480960548,-78.4690334690066,38.3048960042336,-78.7304646944238,8.58333333333326,8.25,1980.25,1980.58333333333,26.2603215630215,-9999
33,41,38.4514225106368,-78.8599715312763,37.8400301123584,-78.3078823287426,8.83333333333326,8.08333333333326,1980.08333333333,1980.83333333333,83.4790069922224,-9999
24,29,38.8761053782642,-78.0758030745979,38.6407786879746,-77.2073949199644,9.08333333333326,6.58333333333326,1978.58333333333,1981.08333333333,79.8079037167726,-9999
33,40,38.4514225106368,-78.8599715312763,38.4716201128081,-78.4405448388512,9.25,8.08333333333326,1980.08333333333,1981.25,36.6302534923654,-9999
2,27,38.7650203927264,-78.6283900343864,38.5629360197114,-78.4353235704102,9.41666666666674,6.41666666666674,1978.41666666667,1981.41666666667,28.0668257931476,-9999
15,20,39.6296797670844,-78.5468775753088,39.9561082905587,-79.5260748010844,9.66666666666674,4.58333333333326,1976.58333333333,1981.66666666667,91.3004471761306,-9999
11,37,40.2147128158071,-78.5591201228314,40.4243130534262,-78.6992726084284,9.83333333333326,7.83333333333326,1979.83333333333,1981.83333333333,26.1909511478846,-9999
42,46,38.3048960042336,-78.7304646944238,38.3286891063038,-79.2811362316988,9.83333333333326,8.58333333333326,1980.58333333333,1981.83333333333,48.1707253941034,-9999
41,48,37.8400301123584,-78.3078823287426,38.1326022162934,-78.9370056865495,10.0833333333333,8.83333333333326,1980.83333333333,1982.08333333333,64.0921689594427,-9999
48,63,38.1326022162934,-78.9370056865495,38.2418746741503,-78.9499365482504,10.1666666666667,10.0833333333333,1982.08333333333,1982.16666666667,12.2171385936844,-9999
40,52,38.4716201128081,-78.4405448388512,37.9825401941654,-78.9929137414448,10.25,9.25,1981.25,1982.25,72.7859897245798,-9999
48,62,38.1326022162934,-78.9370056865495,38.1506302908609,-78.9896688940154,10.25,10.0833333333333,1982.08333333333,1982.25,5.02875620103781,-9999
